,$,(,),+,-,/,:=,;,<,=,>,and,do,else,end,fc,float,ic,id,if,int,not,or,print,prog,scan,str,then,while,{,},∗,
AE,,NE AE',,,,,,,,,,,,,,NE AE',,NE AE',NE AE',,,NE AE',,,,,,,,NE AE',,,,
AE',,,,,,,,,,,,and NE AE',,,,,,,,,,,,,,,,,,,,,,
BE,,AE BE',,,,,,,,,,,,,,AE BE',,AE BE',AE BE',,,AE BE',,,,,,,,AE BE',,,,
BE',,,,,,,,,,,,,,,,,,,,,,,or AE BE',,,,,,,,,,,
D,,,,,,,,,,,,,,,,,TY VL ;,,,,TY VL ;,,,,,,,,,,,,,
DL,,,,,,,,,,,,,,,,,D DL,,,,D DL,,,,,,,,,,,,,
E,,T E',,,,,,,,,,,,,,T E',,T E',T E',,,,,,,,,,,,,,,
E',,,,+ T E',- T E',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,,,,,,,,,,,,,,,,,id := E ;,,,,,,,,,,,,,,,
F,,( E ),,,,,,,,,,,,,,fc,,ic,id,,,,,,,,,,,,,,,
IOS,,,,,,,,,,,,,,,,,,,,,,,,print PE,,scan id,,,,,,,,
IS,,,,,,,,,,,,,,,,,,,,if BE then SL IS',,,,,,,,,,,,,,
IS',,,,,,,,,,,,,,else SL end,end,,,,,,,,,,,,,,,,,,,
NE,,RE,,,,,,,,,,,,,,RE,,RE,RE,,,not NE,,,,,,,,{ BE },,,,
P,,,,,,,,,,,,,,,,,,,,,,,,,prog DL SL end,,,,,,,,,
PE,,E,,,,,,,,,,,,,,E,,E,E,,,,,,,,str,,,,,,,
RE,,E RE',,,,,,,,,,,,,,E RE',,E RE',E RE',,,,,,,,,,,,,,,
RE',,,,,,,,,< E,= E,> E,,,,,,,,,,,,,,,,,,,,,,,
S,,,,,,,,,,,,,,,,,,,ES,IS,,,,IOS,,IOS,,,WS,,,,,
SL,,,,,,,,,,,,,,,,,,,S SL,S SL,,,,S SL,,S SL,,,S SL,,,,,
T,,F T',,,,,,,,,,,,,,F T',,F T',F T',,,,,,,,,,,,,,,
T',,,,,,/ F T',,,,,,,,,,,,,,,,,,,,,,,,,,,∗ F T',
TY,,,,,,,,,,,,,,,,,float,,,,int,,,,,,,,,,,,,
VL,,,,,,,,,,,,,,,,,,,id VL',,,,,,,,,,,,,,,
VL',,,,,,,,,,,,,,,,,,,VL,,,,,,,,,,,,,,,
WS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,while BE do SL end,,,,,
